empId,SSN,Hire Date,fName,mName,lName,Gender,Birthday,Marital Status,Age,"Address(street Address, State Zip Code)"
89,383-68-0844,4/29/09,Eda,    Ever,Yundt,female,19720122,single,51,"10159 Schumm Mill Hagenesmouth, MI 33118-1468"
12,508-21-7914,11/4/09,Jeramie,    Onyx,Jones,male,19701008,single,53,"10509 Lorenza Corners Suite 675 Weimannfort, NE 08950"
31,005-38-9090,12/25/09,Titus,Zion,Lehner,male,19840726,married,39,"1055 Tillman Lake Natalieport, ME 72027"
41,008-52-7007,11/19/10,Cletus,    Darian,Halvorson,male,19880524,married,35,"11375 Fern Road Apt. 402 East Trisha, VT 78437"
85,532-45-5844,1/28/11,Abelardo,    Brighton,Gerhold,male,19840731,married,39,"136 Lillian Square South Florineport, WA 00783"
25,516-78-1751,11/15/11,Imani,Elliot,Deckow,male,19751108,married,48,"1367 Rutherford Ridge Apt. 245 Port Brennanshire, MT 11859-1814"
90,523-65-3822,2/27/13,Amiya,    Halston,Goldner,female,19850508,married,38,"14297 Spinka Mission Apt. 684 West Lenny, CO 29935"
73,503-64-2309,6/7/13,Jeanne,    Kris,Carter,female,19770703,married,46,"1586 Herman Fall Apt. 301 Chaunceyland, SD 17797-5941"
43,360-80-4697,7/21/14,Lazaro,    Oakley,Krajcik,male,19730312,married,50,"172 Lakin Green Lake Eriberto, IL 18342"
47,428-52-5195,11/14/14,Jon,    Jaylin,Fritsch,male,19961205,married,28,"204 Larkin Corners Olaberg, MS 61536-9460"
93,465-42-2279,12/25/15,Danielle,    Jupiter,Durgan,female,19960109,married,28,"210 April Curve Schmidtfort, TX 12232"
58,275-30-2336,1/25/16,Marquis,    Jessie,Johnson,male,19810608,married,42,"2319 Kilback Plain Suite 554 Reynoldsview, OH 06533"
99,651-18-8048,10/27/16,Henri,    Merritt,Schultz,male,19721220,married,52,"242 Powlowski River Hoppeport, CO 30267-3480"
68,537-39-3474,5/30/17,Hassan,    Carey,Steuber,male,19800722,married,43,"24320 Tromp Hills East Darrelshire, WA 24443"
27,516-54-0566,6/22/17,Trever,Jalen,Paucek,male,19940430,married,30,"245 Jaiden Well Apt. 602 Ariannastad, MT 53636"
16,358-03-2914,3/16/18,Lloyd,    Riley,Haag,male,19940912,married,29,"268 O'Conner Mountains Apt. 851 Port Jerrod, IL 92329-8492"
21,354-54-3686,12/7/18,Kadin,    Story,Boyle,male,19840523,married,39,"3196 Kunze Bridge Suite 739 Kirstinfurt, IL 49794"
67,578-24-9471,1/30/19,Piper,    Guadalupe,Nikolaus,female,19830325,single,40,"32313 Bogisich Drive Andrefort, DC 34217-0349"
29,164-20-8148,3/27/19,Christ,Evan,Pollich,male,19700619,single,53,"32436 Bogan Turnpike South Adalineton, PA 04657-4276"
54,520-22-7713,8/20/20,Alexanne,    Monroe,Runolfsson,female,19890326,single,34,"32557 Smitham Ville Apt. 952 South Janiya, WY 32592"
45,518-48-3737,11/13/20,Alysha,    Remy,Howell,female,19820319,single,41,"3399 Libby Ford Alvafort, ID 35269"
80,518-50-9210,2/26/21,Jarod,    Ariel,Beahan,male,19750215,single,49,"341 Stroman Dale Lourdesbury, ID 44999"
4,249-49-0315,5/19/21,Marianna,    Dallas,Ruecker,female,19930619,single,30,"365 Klein Terrace Apt. 692 Brennonmouth, SC 21442-6664"
77,518-64-0742,8/30/22,Andy,    Noel,Bergstrom,male,19960930,single,27,"40053 D'Amore Loop New Jacemouth, ID 78379"
98,649-10-1517,9/8/22,Deron,    Lux,Kovacek,male,19981106,single,25,"403 Dare Port Suite 940 Rutherfordhaven, NM 21175"
53,273-07-7431,4/11/08,Frida,    Gerry,Runolfsdottir,female,19801119,single,43,"411 Bahringer Expressway East Cruz, OH 31586-2019"
88,520-58-3686,4/17/08,Anthony,    Cypress,Koepp,male,19800318,single,43,"42382 Swaniawski Manors Medafurt, WY 39124-9330"
63,539-52-6857,9/24/08,Tad,    Jodie,Grady,male,19810803,single,43,"443 Cassin Motorway South Elveratown, WA 33319"
60,475-49-8584,10/29/08,Roel,    Jackie,Schoen,male,19920220,single,32,"4491 Carson Viaduct Purdyfort, MN 92345"
7,398-58-3569,11/20/08,Riley,    Haven,Moore,male,19711217,single,53,"4502 Mathilde Mews West Raquel, WI 33360"
33,421-45-3038,8/24/09,Jeanette,    Casey,Hintz,female,19830227,single,41,"45692 Virginie Dale Lake Loyalview, AL 43061"
50,047-16-1008,11/27/09,Westley,    Charlie,McLaughlin,male,19770721,single,46,"46029 Adan Ferry Imeldaview, CT 22196"
40,501-07-1348,2/3/10,Celestine,    Rene,O'Conner,female,19930125,single,30,"46272 Norval Orchard Suite 953 North Jerryville, ND 52359-1301"
39,431-89-2195,5/13/11,Frederic,    Justice,Rice,male,19920409,single,32,"476 Flossie Plaza New Tod, AR 92180-7167"
57,578-72-0412,12/20/11,Carol,    Santana,Reichel,male,19980415,single,26,"4760 Elwyn Crescent Suite 420 Barrowsland, DC 69595"
81,044-50-3723,4/12/12,Thomas,    Jan,Konopelski,male,19750724,married,48,"493 Little Street Apt. 260 Port Bernardo, CT 05609-5240"
46,389-10-4029,5/30/12,Janice,    Milan,Lynch,female,19770605,married,46,"49830 Friesen Motorway Braunchester, WI 12691-1774"
66,631-15-1600,10/15/12,Carlie,    Frankie,Orn,female,19960202,married,28,"5024 Rippin Roads Suite 842 West Rudolph, TX 44829-5165"
79,002-11-1288,10/17/12,Lucas,    Johnnie,Fahey,male,19830406,single,41,"506 Willms Flat Suite 183 Patsychester, NH 13378"
3,652-46-6777,12/27/12,Verlie,    Campbell,Monahan,female,19850511,single,38,"509 Larson Bypass Suite 782 Armandoshire, CO 29022"
20,487-10-5805,11/24/14,Clifford,    Shiloh,Pacocha,male,19870923,married,36,"5100 Kovacek Burgs Suite 145 Katelinchester, MO 56251"
2,647-20-5054,6/2/15,Kailee,    Brooklyn,Hauck,female,19770206,married,47,"51122 Santa Stravenue Apt. 318 West Othaburgh, UT 55855-5809"
24,237-25-5939,6/13/16,Bertha,Hunter,Zulauf,male,19710530,married,52,"519 Freddie Mount Suite 686 West Myrtis, NC 52639"
13,772-14-9100,1/11/17,Ebony,    Peyton,Reynolds,female,19940301,married,29,"5198 Elisabeth Loop Batzview, FL 72798-6662"
37,765-76-2311,2/27/17,Bernhard,    Finley,Orn,male,19940301,single,29,"525 Randy Square Apt. 920 North Jeffereybury, AZ 22933"
